代號,校名,系名,標準,考取級分
國立屏東大學,行銷與流通管理學系,總級分(49),1,53
中原大學,會計學系,"超篩總級分(52),數學+總級分(58),英文+專二(21)",1,53
逢甲大學,國際經營與貿易學系,總級分(55),1,53
逢甲大學,合作經濟暨社會事業經營學系,"超篩總級分(53),國文(8),英文+數學+總級分(72)",1,53
銘傳大學,企業管理學系（台北校區）,總級分(52),1,53
銘傳大學,國際企業學系（台北校區）,總級分(36),1,53
長榮大學,國際企業學系,總級分(32),1,53
長榮大學,航運管理學系,國文+英文(16),1,53
國立虎尾科技大學,企業管理系,總級分(55),8,54
國立虎尾科技大學,工業管理系,總級分(54),4,54
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",4,54
國立屏東科技大學,企業管理系,總級分(52),3,54
國立屏東大學,財務金融學系,總級分(53),3,54
中原大學,會計學系,"超篩總級分(52),數學+總級分(58),英文+專二(21)",3,54
國立高雄科技大學,智慧商務系,"09商管群/超篩總級分(57),英文+數學(18),專一(12)",2,54
國立高雄科技大學,應用英語系,(111學年度商管群新增),2,54
國立高雄科技大學,應用日語系,總級分(54),2,54
國立高雄科技大學,高瞻科技不分系學士學位學程,"總級分(51),英文+數學(19),專二(10)",2,54
國立虎尾科技大學,應用外語系,總級分(54),2,54
國立勤益科技大學,企業管理系,"超篩總級分(60),國文+英文+數學+專二(40),專一(12)",2,54
國立勤益科技大學,流通管理系,09商管群/總級分(55),2,54
國立臺北護理健康大學,資訊管理系,總級分(56),2,54
國立臺中科技大學,休閒事業經營系,總級分(54),2,54
國立臺中科技大學,保險金融管理系,總級分(56),2,54
國立臺中科技大學,企業管理系,總級分(58),2,54
逢甲大學,會計學系,"超篩總級分(52),國文(11),英文+總級分(64)",2,54
逢甲大學,國際經營與貿易學系,總級分(55),2,54
實踐大學,財務金融學系（臺北校區）,總級分(52),2,54
國立屏東科技大學,植物醫學系,(111學年度商管群新增),1,54
國立屏東科技大學,財務金融國際學士學位學程,總級分(51),1,54
國立高雄科技大學,企業管理系,總級分(59),1,54
國立高雄科技大學,運籌管理系,總級分(57),1,54
國立高雄科技大學,金融資訊系,09商管群/總級分(62),1,54
國立高雄科技大學,航運管理系,總級分(55),1,54
國立高雄科技大學,商務資訊應用系,總級分(58),1,54
國立高雄科技大學,海洋休閒管理系,總級分(53),1,54
國立高雄科技大學,應用德語系,總級分(53),1,54
